palabra;definicion;grammatical;nivel2;tematica
past;;adjective & noun & preposition;B1 Preliminar;Time
hour;;noun;B1 Preliminar;Time
noon;;noun;B1 Preliminar;Time
week;;noun;B1 Preliminar;Time
year;;noun;B1 Preliminar;Time
date;;noun & verb;B1 Preliminar;Time
time;;noun & verb;B1 Preliminar;Time
July;;Nouns;A1 Movers;Time
June;;Nouns;A1 Movers;Time
date;;Nouns;A2 Flyers;Time
fall;;Nouns;A2 Flyers;Time
hour;;Nouns;A1 Movers;Time
late;;Adjectives;A1 Movers;Time
long;;Adjectives;Pre A1 Starters;Time
past;;Prepositions;A1 Movers;Time
time;;Nouns;A2 Flyers;Time
week;;Nouns;A1 Movers;Time
year;;Nouns;Pre A1 Starters;Time
ball;;Nouns;Pre A1 Starters;Toys
bear;;Nouns;Pre A1 Starters;Toys
doll;;Nouns;Pre A1 Starters;Toys
game;;Nouns;Pre A1 Starters;Toys
bike;;Nouns;Pre A1 Starters;Transport
boat;;Nouns;Pre A1 Starters;Transport
lift;;Nouns;A1 Movers;Transport
ride;;Nouns;A2 Flyers;Transport
ship;;Nouns;Pre A1 Starters;Transport
stop;;Nouns;A1 Movers;Transport
swim;;Nouns;A1 Movers;Transport
tour;;Nouns;A2 Flyers;Transport
trip;;Nouns;A1 Movers;Transport
left;;adjective & adverb & noun;B1 Preliminar;Transport
case;;noun;B1 Preliminar;Transport
fare;;noun;B1 Preliminar;Transport
fuel;;noun;B1 Preliminar;Transport
Miss;;noun;B1 Preliminar;Transport
ship;;noun;B1 Preliminar;Transport
taxi;;noun;B1 Preliminar;Transport
tram;;noun;B1 Preliminar;Transport
trip;;noun;B1 Preliminar;Transport
visa;;noun;B1 Preliminar;Transport
ride;;noun & verb;B1 Preliminar;Transport
move;;verb;B1 Preliminar;Transport
mild;;adjective;B1 Preliminar;Weather
warm;;adjective;B1 Preliminar;Weather
cold;;adjective & noun;B1 Preliminar;Weather
gale;;noun;B1 Preliminar;Weather
heat;;noun;B1 Preliminar;Weather
wind;;noun;B1 Preliminar;Weather
rain;;noun & verb;B1 Preliminar;Weather
snow;;noun & verb;B1 Preliminar;Weather
blow;;verb;B1 Preliminar;Weather
rain;;Nouns;A1 Movers;Weather
snow;;Nouns;A1 Movers;Weather
wind;;Nouns;A1 Movers;Weather
cave;;Nouns;A1 Movers;Work
city;;Nouns;A1 Movers;Work
cook;;Nouns;A1 Movers;Work
exit;;Nouns;A2 Flyers;Work
film;;Nouns;A1 Movers;Work
fire;;Nouns;A2 Flyers;Work
hill;;Nouns;A1 Movers;Work
lake;;Nouns;A1 Movers;Work
land;;Verbs regular;A2 Flyers;Work
moon;;Nouns;A1 Movers;Work
news;;Nouns;A2 Flyers;Work
pond;;Nouns;A2 Flyers;Work
road;;Nouns;A1 Movers;Work
rock;;Nouns;A1 Movers;Work
sand;;Nouns;Pre A1 Starters;Work
star;;Nouns;A1 Movers;Work
taxi;;Nouns;A2 Flyers;Work
town;;Nouns;A1 Movers;Work
tree;;Nouns;Pre A1 Starters;Work
view;;Nouns;A2 Flyers;Work
wave;;Nouns;A1 Movers;Work
wood;;Nouns;A2 Flyers;Work
work;;Nouns;A1 Movers;Work
army;;noun;B1 Preliminar;Work
boss;;noun;B1 Preliminar;Work
crew;;noun;B1 Preliminar;Work
king;;noun;B1 Preliminar;Work
poet;;noun;B1 Preliminar;Work
cook;;noun & verb;B1 Preliminar;Work
work;;noun & verb;B1 Preliminar;Work
earn;;verb;B1 Preliminar;Work
quit;;verb;B1 Preliminar;Work
aged;;adjective;B1 Preliminar;
bald;;adjective;B1 Preliminar;
bold;;adjective;B1 Preliminar;
born;;adjective;B1 Preliminar;
cosy;;adjective;B1 Preliminar;
deaf;;adjective;B1 Preliminar;
dull;;adjective;B1 Preliminar;
full;;adjective;B1 Preliminar;
huge;;adjective;B1 Preliminar;
long;;adjective;B1 Preliminar;
lost;;adjective;B1 Preliminar;
loud;;adjective;B1 Preliminar;
main;;adjective;B1 Preliminar;
neat;;adjective;B1 Preliminar;
pale;;adjective;B1 Preliminar;
pure;;adjective;B1 Preliminar;
rare;;adjective;B1 Preliminar;
safe;;adjective;B1 Preliminar;
sore;;adjective;B1 Preliminar;
thin;;adjective;B1 Preliminar;
tiny;;adjective;B1 Preliminar;
ugly;;adjective;B1 Preliminar;
weak;;adjective;B1 Preliminar;
wide;;adjective;B1 Preliminar;
wise;;adjective;B1 Preliminar;
best;;adjective & adverb;B1 Preliminar;
deep;;adjective & adverb;B1 Preliminar;
fast;;adjective & adverb;B1 Preliminar;
late;;adjective & adverb;B1 Preliminar;
next;;adjective & adverb;B1 Preliminar;
only;;adjective & adverb;B1 Preliminar;
last;;adjective & adverb & determiner & verb;B1 Preliminar;
back;;adjective & adverb & noun;B1 Preliminar;
near;;adjective & adverb & preposition;B1 Preliminar;
same;;adjective & adverb & pronoum;B1 Preliminar;
dark;;adjective & noun;B1 Preliminar;
fair;;adjective & noun;B1 Preliminar;
folk;;adjective & noun;B1 Preliminar;
grey;;adjective & noun;B1 Preliminar;
male;;adjective & noun;B1 Preliminar;
open;;adjective & verb;B1 Preliminar;
shut;;adjective & verb;B1 Preliminar;
tidy;;adjective & verb;B1 Preliminar;
also;;adverb;B1 Preliminar;
away;;adverb;B1 Preliminar;
down;;adverb;B1 Preliminar;
else;;adverb;B1 Preliminar;
even;;adverb;B1 Preliminar;
ever;;adverb;B1 Preliminar;
here;;adverb;B1 Preliminar;
just;;adverb;B1 Preliminar;
once;;adverb;B1 Preliminar;
p.m.;;adverb;B1 Preliminar;
soon;;adverb;B1 Preliminar;
then;;adverb;B1 Preliminar;
very;;adverb;B1 Preliminar;
when;;adverb;B1 Preliminar;
half;;adverb & determiner & noun & pronoum;B1 Preliminar;
less;;adverb & determiner & pronoum;B1 Preliminar;
more;;adverb & determiner & pronoum;B1 Preliminar;
most;;adverb & determiner & pronoum;B1 Preliminar;
much;;adverb & determiner & pronoum;B1 Preliminar;
over;;adverb & preposition;B1 Preliminar;
have;;auxiliary verb & verb;B1 Preliminar;
that;;conjunction & determiner & pronoum;B1 Preliminar;
plus;;conjunction & prepositon;B1 Preliminar;
than;;conjunction & prepositon;B1 Preliminar;
till;;conjunction & prepositon;B1 Preliminar;
such;;determiner;B1 Preliminar;
your;;determiner;B1 Preliminar;
both;;determiner & pronoum;B1 Preliminar;
each;;determiner & pronoum;B1 Preliminar;
many;;determiner & pronoum;B1 Preliminar;
some;;determiner & pronoum;B1 Preliminar;
this;;determiner & pronoum;B1 Preliminar;
what;;determiner & pronoum;B1 Preliminar;
must;;modal verb;B1 Preliminar;
will;;modal verb;B1 Preliminar;
aunt;;noun;B1 Preliminar;
bear;;noun;B1 Preliminar;
beef;;noun;B1 Preliminar;
bull;;noun;B1 Preliminar;
calf;;noun;B1 Preliminar;
chip;;noun;B1 Preliminar;
city;;noun;B1 Preliminar;
coin;;noun;B1 Preliminar;
crop;;noun;B1 Preliminar;
dirt;;noun;B1 Preliminar;
disk;;noun;B1 Preliminar;
drum;;noun;B1 Preliminar;
dust;;noun;B1 Preliminar;
duty;;noun;B1 Preliminar;
edge;;noun;B1 Preliminar;
fact;;noun;B1 Preliminar;
fear;;noun;B1 Preliminar;
firm;;noun;B1 Preliminar;
flag;;noun;B1 Preliminar;
fool;;noun;B1 Preliminar;
gift;;noun;B1 Preliminar;
girl;;noun;B1 Preliminar;
goat;;noun;B1 Preliminar;
herb;;noun;B1 Preliminar;
hole;;noun;B1 Preliminar;
idea;;noun;B1 Preliminar;
inch;;noun;B1 Preliminar;
item;;noun;B1 Preliminar;
jail;;noun;B1 Preliminar;
jazz;;noun;B1 Preliminar;
kite;;noun;B1 Preliminar;
lack;;noun;B1 Preliminar;
lady;;noun;B1 Preliminar;
life;;noun;B1 Preliminar;
link;;noun;B1 Preliminar;
list;;noun;B1 Preliminar;
load;;noun;B1 Preliminar;
loan;;noun;B1 Preliminar;
mate;;noun;B1 Preliminar;
mess;;noun;B1 Preliminar;
mile;;noun;B1 Preliminar;
mood;;noun;B1 Preliminar;
neck;;noun;B1 Preliminar;
nest;;noun;B1 Preliminar;
page;;noun;B1 Preliminar;
pair;;noun;B1 Preliminar;
part;;noun;B1 Preliminar;
peak;;noun;B1 Preliminar;
pile;;noun;B1 Preliminar;
pity;;noun;B1 Preliminar;
pool;;noun;B1 Preliminar;
pump;;noun;B1 Preliminar;
rail;;noun;B1 Preliminar;
role;;noun;B1 Preliminar;
rose;;noun;B1 Preliminar;
sale;;noun;B1 Preliminar;
side;;noun;B1 Preliminar;
site;;noun;B1 Preliminar;
sock;;noun;B1 Preliminar;
song;;noun;B1 Preliminar;
sort;;noun;B1 Preliminar;
soul;;noun;B1 Preliminar;
spot;;noun;B1 Preliminar;
tube;;noun;B1 Preliminar;
tune;;noun;B1 Preliminar;
twin;;noun;B1 Preliminar;
tyre;;noun;B1 Preliminar;
unit;;noun;B1 Preliminar;
user;;noun;B1 Preliminar;
view;;noun;B1 Preliminar;
wife;;noun;B1 Preliminar;
wing;;noun;B1 Preliminar;
yard;;noun;B1 Preliminar;
zero;;noun;B1 Preliminar;
zone;;noun;B1 Preliminar;
bath;;noun & verb;B1 Preliminar;
bomb;;noun & verb;B1 Preliminar;
call;;noun & verb;B1 Preliminar;
care;;noun & verb;B1 Preliminar;
copy;;noun & verb;B1 Preliminar;
cost;;noun & verb;B1 Preliminar;
cure;;noun & verb;B1 Preliminar;
drop;;noun & verb;B1 Preliminar;
form;;noun & verb;B1 Preliminar;
help;;noun & verb;B1 Preliminar;
hope;;noun & verb;B1 Preliminar;
kick;;noun & verb;B1 Preliminar;
kiss;;noun & verb;B1 Preliminar;
look;;noun & verb;B1 Preliminar;
love;;noun & verb;B1 Preliminar;
mail;;noun & verb;B1 Preliminar;
mind;;noun & verb;B1 Preliminar;
name;;noun & verb;B1 Preliminar;
pass;;noun & verb;B1 Preliminar;
plan;;noun & verb;B1 Preliminar;
post;;noun & verb;B1 Preliminar;
push;;noun & verb;B1 Preliminar;
rest;;noun & verb;B1 Preliminar;
rule;;noun & verb;B1 Preliminar;
sail;;noun & verb;B1 Preliminar;
show;;noun & verb;B1 Preliminar;
sign;;noun & verb;B1 Preliminar;
stay;;noun & verb;B1 Preliminar;
stop;;noun & verb;B1 Preliminar;
tear;;noun & verb;B1 Preliminar;
tick;;noun & verb;B1 Preliminar;
tour;;noun & verb;B1 Preliminar;
turn;;noun & verb;B1 Preliminar;
type;;noun & verb;B1 Preliminar;
vote;;noun & verb;B1 Preliminar;
wait;;noun & verb;B1 Preliminar;
wash;;noun & verb;B1 Preliminar;
wave;;noun & verb;B1 Preliminar;
wish;;noun & verb;B1 Preliminar;
ages;;plural noun;B1 Preliminar;
from;;preposition;B1 Preliminar;
into;;preposition;B1 Preliminar;
onto;;preposition;B1 Preliminar;
upon;;preposition;B1 Preliminar;
with;;preposition;B1 Preliminar;
like;;preposition & verb;B1 Preliminar;
hers;;pronoum;B1 Preliminar;
mine;;pronoum;B1 Preliminar;
none;;pronoum;B1 Preliminar;
ours;;pronoum;B1 Preliminar;
them;;pronoum;B1 Preliminar;
they;;pronoum;B1 Preliminar;
bake;;verb;B1 Preliminar;
beat;;verb;B1 Preliminar;
bite;;verb;B1 Preliminar;
boil;;verb;B1 Preliminar;
burn;;verb;B1 Preliminar;
bury;;verb;B1 Preliminar;
clap;;verb;B1 Preliminar;
come;;verb;B1 Preliminar;
deal;;verb;B1 Preliminar;
dive;;verb;B1 Preliminar;
fail;;verb;B1 Preliminar;
feed;;verb;B1 Preliminar;
fill;;verb;B1 Preliminar;
find;;verb;B1 Preliminar;
flow;;verb;B1 Preliminar;
fold;;verb;B1 Preliminar;
gain;;verb;B1 Preliminar;
give;;verb;B1 Preliminar;
grab;;verb;B1 Preliminar;
hang;;verb;B1 Preliminar;
hate;;verb;B1 Preliminar;
hear;;verb;B1 Preliminar;
hide;;verb;B1 Preliminar;
hold;;verb;B1 Preliminar;
hunt;;verb;B1 Preliminar;
join;;verb;B1 Preliminar;
keep;;verb;B1 Preliminar;
kill;;verb;B1 Preliminar;
lend;;verb;B1 Preliminar;
live;;verb;B1 Preliminar;
lose;;verb;B1 Preliminar;
make;;verb;B1 Preliminar;
meet;;verb;B1 Preliminar;
mend;;verb;B1 Preliminar;
need;;verb;B1 Preliminar;
pack;;verb;B1 Preliminar;
peel;;verb;B1 Preliminar;
pick;;verb;B1 Preliminar;
pour;;verb;B1 Preliminar;
pray;;verb;B1 Preliminar;
pull;;verb;B1 Preliminar;
rise;;verb;B1 Preliminar;
seem;;verb;B1 Preliminar;
send;;verb;B1 Preliminar;
sing;;verb;B1 Preliminar;
slip;;verb;B1 Preliminar;
stir;;verb;B1 Preliminar;
take;;verb;B1 Preliminar;
wake;;verb;B1 Preliminar;
want;;verb;B1 Preliminar;
warn;;verb;B1 Preliminar;
wear;;verb;B1 Preliminar;
Dear;;Adjectives;A2 Flyers;
also;;Adverbs;A1 Movers;
away;;Adverbs;A1 Movers;
bath;;Nouns;Pre A1 Starters;
best;;Adjectives;A1 Movers;
body;;Nouns;Pre A1 Starters;
both;;Determiners;A1 Movers;
burn;;Verbs regular;A1 Movers;
busy;;Adjectives;A1 Movers;
call;;Verbs;A1 Movers;
camp;;Verbs regular;A1 Movers;
chat;;Verbs regular;A1 Movers;
clap;;Verbs regular;Pre A1 Starters;
comb;;Nouns;A1 Movers;
come;;Verbs irregular;Pre A1 Starters;
cool;;Adjectives;Pre A1 Starters;
dark;;Adjectives;A1 Movers;
dear;;Adjectives;A1 Movers;
deep;;Adjectives;A1 Movers;
down;;Adverbs;A1 Movers;
drop;;Verbs regular;A1 Movers;
each;;Determiners;A1 Movers;
easy;;Adjectives;A1 Movers;
else;;Adverbs;A1 Movers;
ever;;Adverbs;A1 Movers;
fast;;Adjectives;A1 Movers;
feed;;Verbs irregular;A1 Movers;
feel;;Verbs irregular;A1 Movers;
file;;Nouns;A2 Flyers;
flat;;Nouns;Pre A1 Starters;
from;;Prepositions;Pre A1 Starters;
full;;Adjectives;A1 Movers;
gate;;Nouns;A1 Movers;
give;;Verbs irregular;Pre A1 Starters;
good;;Adjectives;Pre A1 Starters;
grow;;Verbs irregular;A1 Movers;
half;;Nouns;A1 Movers;
hall;;Nouns;Pre A1 Starters;
hard;;Adjectives;A1 Movers;
hate;;Verbs regular;A1 Movers;
have;;Verbs irregular;A1 Movers;
hear;;Verbs irregular;A1 Movers;
help;;Verbs regular;A1 Movers;
hers;;Pronouns;Pre A1 Starters;
hide;;Verbs;A1 Movers;
high;;Adjectives;A1 Movers;
hold;;Verbs irregular;Pre A1 Starters;
hole;;Nouns;A1 Movers;
home;;Nouns;Pre A1 Starters;
hope;;Verbs regular;A1 Movers;
huge;;Adjectives;A1 Movers;
hurt;;Verbs irregular;A1 Movers;
idea;;Nouns;A1 Movers;
into;;Prepositions;A1 Movers;
just;;Adverbs;A1 Movers;
keep;;Verbs irregular;A1 Movers;
kind;;Nouns;A1 Movers;
king;;Nouns;A1 Movers;
know;;Verbs irregular;Pre A1 Starters;
lamp;;Nouns;Pre A1 Starters;
last;;Adjectives;A1 Movers;
lazy;;Adjectives;A1 Movers;
lets;;Verbs irregular;Pre A1 Starters;
like;;Verbs regular;A2 Flyers;
lose;;Verbs irregular;A1 Movers;
lots;;Determiners;Pre A1 Starters;
loud;;Adjectives;A1 Movers;
love;;Verbs regular;Pre A1 Starters;
mail;;Nouns;A2 Flyers;
make;;Verbs irregular;Pre A1 Starters;
many;;Determiners;Pre A1 Starters;
mean;;Verbs irregular;A1 Movers;
mind;;Verbs regular;A2 Flyers;
mine;;Pronouns;Pre A1 Starters;
more;;Determiners;A1 Movers;
most;;Determiners;A1 Movers;
move;;Verbs regular;A1 Movers;
much;;Determiners;A1 Movers;
must;;Verbs irregular;A1 Movers;
name;;Nouns;Pre A1 Starters;
need;;Verbs regular;A1 Movers;
next;;Adjectives;A2 Flyers;
nice;;Adjectives;Pre A1 Starters;
once;;Adverbs;A2 Flyers;
only;;Adverbs;A1 Movers;
ours;;Pronouns;Pre A1 Starters;
oven;;Nouns;A2 Flyers;
pick;;Verbs regular;Pre A1 Starters;
poor;;Adjectives;A2 Flyers;
pull;;Verbs regular;A2 Flyers;
push;;Verbs regular;A2 Flyers;
rich;;Adjectives;A2 Flyers;
roof;;Nouns;A1 Movers;
room;;Nouns;A1 Movers;
safe;;Adjectives;A1 Movers;
same;;Adjectives;A2 Flyers;
save;;Verbs regular;A2 Flyers;
seat;;Nouns;A1 Movers;
sell;;Verbs irregular;A2 Flyers;
send;;Verbs irregular;A2 Flyers;
show;;Verbs regular;Pre A1 Starters;
slow;;Adjectives;A1 Movers;
soap;;Nouns;A1 Movers;
sofa;;Nouns;Pre A1 Starters;
soft;;Adjectives;A2 Flyers;
some;;Determiners;Pre A1 Starters;
soon;;Adverbs;A2 Flyers;
sore;;Adjectives;A2 Flyers;
stay;;Verbs regular;A2 Flyers;
step;;Nouns;A1 Movers;
such;;Determiners;A1 Movers;
sure;;Adjectives;A2 Flyers;
talk;;Verbs regular;Pre A1 Starters;
tall;;Adjectives;A1 Movers;
than;;Conjunctions;A1 Movers;
that;;Determiners;Pre A1 Starters;
them;;Pronouns;Pre A1 Starters;
then;;Adverbs;A1 Movers;
they;;Pronouns;Pre A1 Starters;
this;;Determiners;Pre A1 Starters;
tidy;;Adjectives;A2 Flyers;
turn;;Verbs regular;A2 Flyers;
ugly;;Adjectives;Pre A1 Starters;
very;;Adverbs;Pre A1 Starters;
wait;;Verbs regular;A1 Movers;
wake;;Verbs irregular;A1 Movers;
want;;Verbs regular;Pre A1 Starters;
warm;;Adjectives;A2 Flyers;
wash;;Nouns;A1 Movers;
weak;;Adjectives;A1 Movers;
well;;Adjectives;A1 Movers;
what;;Question words;Pre A1 Starters;
when;;Adverbs;A1 Movers;
wifi;;Nouns;A2 Flyers;
will;;Modals;A1 Movers;
wish;;Nouns;A2 Flyers;
with;;Prepositions;Pre A1 Starters;
zero;;Nouns;A2 Flyers;
beard;;Nouns;A1 Movers;Animals
camel;;Nouns;A1 Movers;Animals
curly;;Adjectives;A1 Movers;Animals
eagle;;Nouns;A2 Flyers;Animals
elbow;;Nouns;A2 Flyers;Animals
hippo;;Nouns;Pre A1 Starters;Animals
horse;;Nouns;Pre A1 Starters;Animals
mouth;;Nouns;Pre A1 Starters;Animals
panda;;Nouns;A1 Movers;Animals
polar;;Nouns;Pre A1 Starters;Animals
puppy;;Nouns;A1 Movers;Animals
shark;;Nouns;A1 Movers;Animals
sheep;;Nouns;Pre A1 Starters;Animals
smile;;Nouns;Pre A1 Starters;Animals
snail;;Nouns;A1 Movers;Animals
snake;;Nouns;Pre A1 Starters;Animals
tiger;;Nouns;Pre A1 Starters;Animals
whale;;Nouns;A1 Movers;Animals
zebra;;Nouns;Pre A1 Starters;Animals
boots;;Nouns;Pre A1 Starters;Clothes
crown;;Nouns;A2 Flyers;Clothes
dress;;Nouns;Pre A1 Starters;Clothes
glove;;Nouns;A1 Movers;Clothes
jeans;;Nouns;Pre A1 Starters;Clothes
scarf;;Nouns;A1 Movers;Clothes
shirt;;Nouns;Pre A1 Starters;Clothes
skirt;;Nouns;Pre A1 Starters;Clothes
chain;;noun;B1 Preliminar;Clothes
glove;;noun;B1 Preliminar;Clothes
label;;noun;B1 Preliminar;Clothes
pants;;noun;B1 Preliminar;Clothes
purse;;noun;B1 Preliminar;Clothes
scarf;;noun;B1 Preliminar;Clothes
shirt;;noun;B1 Preliminar;Clothes
skirt;;noun;B1 Preliminar;Clothes
dress;;noun & verb;B1 Preliminar;Clothes
watch;;noun & verb;B1 Preliminar;Clothes
jeans;;plural noun;B1 Preliminar;Clothes
white;;adjective;B1 Preliminar;Colours
black;;adjective & noun;B1 Preliminar;Colours
brown;;adjective & noun;B1 Preliminar;Colours
green;;adjective & noun;B1 Preliminar;Colours
black;;Adjectives;Pre A1 Starters;Colours
brown;;Adjectives;Pre A1 Starters;Colours
green;;Adjectives;Pre A1 Starters;Colours
white;;Adjectives;Pre A1 Starters;Colours
mouse;;noun;B1 Preliminar;Communications and Technology
robot;;noun;B1 Preliminar;Communications and Technology
email;;noun & verb;B1 Preliminar;Communications and Technology
phone;;noun & verb;B1 Preliminar;Communications and Technology
enter;;verb;B1 Preliminar;Communications and Technology
class;;noun;B1 Preliminar;Education
coach;;noun;B1 Preliminar;Education
drama;;noun;B1 Preliminar;Education
essay;;noun;B1 Preliminar;Education
level;;noun;B1 Preliminar;Education
music;;noun;B1 Preliminar;Education
pupil;;noun;B1 Preliminar;Education
ruler;;noun;B1 Preliminar;Education
board;;noun & verb;B1 Preliminar;Education
reply;;noun & verb;B1 Preliminar;Education
learn;;verb;B1 Preliminar;Education
print;;verb;B1 Preliminar;Education
teach;;verb;B1 Preliminar;Education
comic;;adjective & noun;B1 Preliminar;Entertainment and Media
magic;;adjective & noun;B1 Preliminar;Entertainment and Media
actor;;noun;B1 Preliminar;Entertainment and Media
chess;;noun;B1 Preliminar;Entertainment and Media
group;;noun;B1 Preliminar;Entertainment and Media
opera;;noun;B1 Preliminar;Entertainment and Media
scene;;noun;B1 Preliminar;Entertainment and Media
stage;;noun;B1 Preliminar;Entertainment and Media
dance;;noun & verb;B1 Preliminar;Entertainment and Media
laugh;;noun & verb;B1 Preliminar;Entertainment and Media
paint;;noun & verb;B1 Preliminar;Entertainment and Media
video;;noun & verb;B1 Preliminar;Entertainment and Media
waste;;adjective & noun & verb;B1 Preliminar;Environment
uncle;;Nouns;A1 Movers;Family & friends
young;;Adjectives;Pre A1 Starters;Family & friends
apple;;Nouns;Pre A1 Starters;Food & drink
bread;;Nouns;Pre A1 Starters;Food & drink
candy;;Nouns;Pre A1 Starters;Food & drink
chips;;Nouns;Pre A1 Starters;Food & drink
cream;;Nouns;Pre A1 Starters;Food & drink
drink;;Nouns;Pre A1 Starters;Food & drink
flour;;Nouns;A2 Flyers;Food & drink
fries;;Nouns;A1 Movers;Food & drink
fruit;;Nouns;Pre A1 Starters;Food & drink
grape;;Nouns;Pre A1 Starters;Food & drink
honey;;Nouns;A1 Movers;Food & drink
juice;;Nouns;Pre A1 Starters;Food & drink
knife;;Nouns;A1 Movers;Food & drink
lemon;;Nouns;Pre A1 Starters;Food & drink
lunch;;Nouns;Pre A1 Starters;Food & drink
mango;;Nouns;Pre A1 Starters;Food & drink
onion;;Nouns;Pre A1 Starters;Food & drink
pasta;;Nouns;A1 Movers;Food & drink
piece;;Nouns;A2 Flyers;Food & drink
pizza;;Nouns;A2 Flyers;Food & drink
plate;;Nouns;A1 Movers;Food & drink
salad;;Nouns;A1 Movers;Food & drink
sauce;;Nouns;A1 Movers;Food & drink
smell;;Nouns;A1 Movers;Food & drink
snack;;Nouns;A1 Movers;Food & drink
spoon;;Nouns;A1 Movers;Food & drink
sugar;;Nouns;A2 Flyers;Food & drink
taste;;Nouns;A2 Flyers;Food & drink
fresh;;adjective;B1 Preliminar;Food & drink
fried;;adjective;B1 Preliminar;Food & drink
spicy;;adjective;B1 Preliminar;Food & drink
tasty;;adjective;B1 Preliminar;Food & drink
cream;;adjective & noun;B1 Preliminar;Food & drink
glass;;adjective & noun;B1 Preliminar;Food & drink
apple;;noun;B1 Preliminar;Food & drink
bread;;noun;B1 Preliminar;Food & drink
candy;;noun;B1 Preliminar;Food & drink
curry;;noun;B1 Preliminar;Food & drink
flour;;noun;B1 Preliminar;Food & drink
fruit;;noun;B1 Preliminar;Food & drink
grape;;noun;B1 Preliminar;Food & drink
honey;;noun;B1 Preliminar;Food & drink
juice;;noun;B1 Preliminar;Food & drink
knife;;noun;B1 Preliminar;Food & drink
lemon;;noun;B1 Preliminar;Food & drink
lunch;;noun;B1 Preliminar;Food & drink
melon;;noun;B1 Preliminar;Food & drink
onion;;noun;B1 Preliminar;Food & drink
pasta;;noun;B1 Preliminar;Food & drink
peach;;noun;B1 Preliminar;Food & drink
pizza;;noun;B1 Preliminar;Food & drink
plate;;noun;B1 Preliminar;Food & drink
salad;;noun;B1 Preliminar;Food & drink
sauce;;noun;B1 Preliminar;Food & drink
snack;;noun;B1 Preliminar;Food & drink
spoon;;noun;B1 Preliminar;Food & drink
steak;;noun;B1 Preliminar;Food & drink
sugar;;noun;B1 Preliminar;Food & drink
toast;;noun;B1 Preliminar;Food & drink
break;;noun & verb;B1 Preliminar;Food & drink
drink;;noun & verb;B1 Preliminar;Food & drink
taste;;noun & verb;B1 Preliminar;Food & drink
cough;;Nouns;A1 Movers;Health
tired;;Adjectives;A1 Movers;Health
x-ray;;Nouns;A2 Flyers;Health
tired;;adjective;B1 Preliminar;Health
clean;;adjective & verb;B1 Preliminar;Health
ankle;;noun;B1 Preliminar;Health
brain;;noun;B1 Preliminar;Health
fever;;noun;B1 Preliminar;Health
nurse;;noun;B1 Preliminar;Health
thumb;;noun;B1 Preliminar;Health
check;;noun & verb;B1 Preliminar;Health
beach;;noun;B1 Preliminar;Hobbies and Leisure
hobby;;noun;B1 Preliminar;Hobbies and Leisure
model;;noun;B1 Preliminar;Hobbies and Leisure
party;;noun;B1 Preliminar;Hobbies and Leisure
slide;;noun;B1 Preliminar;Hobbies and Leisure
torch;;noun;B1 Preliminar;Hobbies and Leisure
blind;;adjective;B1 Preliminar;House and Home
light;;adjective & noun & verb;B1 Preliminar;House and Home
alarm;;noun;B1 Preliminar;House and Home
basin;;noun;B1 Preliminar;House and Home
block;;noun;B1 Preliminar;House and Home
chair;;noun;B1 Preliminar;House and Home
clock;;noun;B1 Preliminar;House and Home
duvet;;noun;B1 Preliminar;House and Home
floor;;noun;B1 Preliminar;House and Home
house;;noun;B1 Preliminar;House and Home
radio;;noun;B1 Preliminar;House and Home
sheet;;noun;B1 Preliminar;House and Home
shelf;;noun;B1 Preliminar;House and Home
table;;noun;B1 Preliminar;House and Home
towel;;noun;B1 Preliminar;House and Home
tower;;noun;B1 Preliminar;House and Home
brush;;noun & verb;B1 Preliminar;House and Home
grill;;noun & verb;B1 Preliminar;House and Home
plant;;noun & verb;B1 Preliminar;House and Home
shout;;noun & verb;B1 Preliminar;Language
argue;;verb;B1 Preliminar;Language
speak;;verb;B1 Preliminar;Language
glass;;Nouns;A1 Movers;Materials
metal;;Nouns;A2 Flyers;Materials
angry;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
awful;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
bored;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
bossy;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
brave;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
cruel;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
funny;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
great;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
happy;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
heavy;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
lucky;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
noisy;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
quick;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
quiet;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
ready;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
small;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
smart;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
sorry;;adjective;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives)
