palabra;definicion;grammatical;nivel2;tematica;nivel
incredibly;;adverb;B1 Preliminar;;
personally;;adverb;B1 Preliminar;;
previously;;adverb;B1 Preliminar;;
reasonably;;adverb;B1 Preliminar;;
fortunately;;adverb;B1 Preliminar;;
immediately;;adverb;B1 Preliminar;;
occasionally;;adverb;B1 Preliminar;;
particularly;;adverb;B1 Preliminar;;
approximately;;adverb;B1 Preliminar;Time;
unfortunately;;adverb;B1 Preliminar;;
where;to where;adverb & conjunction;B1 Preliminar;;
before;;adverb & conjunction & prepositon;B1 Preliminar;;
second;;adverb & determiner & noun;B1 Preliminar;Time;
half;a half;adverb & determiner & noun & pronoum;B1 Preliminar;;
less;to less;adverb & determiner & pronoum;B1 Preliminar;;
more;to more;adverb & determiner & pronoum;B1 Preliminar;;
most;to most;adverb & determiner & pronoum;B1 Preliminar;;
much;to much;adverb & determiner & pronoum;B1 Preliminar;;
either;;adverb & determiner & pronoum;B1 Preliminar;;
enough;;adverb & determiner & pronoum;B1 Preliminar;;
neither;;adverb & determiner & pronoum;B1 Preliminar;;
home;the place where you live;adverb & noun;B1 Preliminar;House and Home;
today;this day;adverb & noun;B1 Preliminar;Time;
tonight;;adverb & noun;B1 Preliminar;Time;
tomorrow;;adverb & noun;B1 Preliminar;Time;
over;above or across;adverb & preposition;B1 Preliminar;;
off;away from a place;adverb & preposition;B1 Preliminar;;
behind;indicating position or direction: behind;adverb & preposition;B1 Preliminar;;
below;lower than;adverb & preposition;B1 Preliminar;;
about;to about;adverb & preposition;B1 Preliminar;;
along;to along;adverb & preposition;B1 Preliminar;;
across;;adverb & preposition;B1 Preliminar;;
around;;adverb & preposition;B1 Preliminar;;
beside;;adverb & preposition;B1 Preliminar;;
beyond;;adverb & preposition;B1 Preliminar;;
inside;;adverb & preposition;B1 Preliminar;;
between;;adverb & preposition;B1 Preliminar;;
back;a back;adverb;A1 Movers;Animals;
course;a course;adverb;A2 Flyers;;
over;above or across;adverb;A2 Flyers;Places;
yes;affirmative answer;adverb;Pre A1 Starters;;
later;at a time in the future;adverb;A2 Flyers;Time;
never;at no time;adverb;A1 Movers;Time;
now;at the present time;adverb;Pre A1 Starters;;
off;away from a place;adverb;A1 Movers;;
out;away from the inside;adverb;A1 Movers;;
near;close to;adverb;A1 Movers;Places;
after;following in time;adverb;A1 Movers;Time;
there;in that place;adverb;Pre A1 Starters;Places;
ago;in the past;adverb;A1 Movers;Time;
here;in this place;adverb;Pre A1 Starters;Places;
how;in what way or manner;adverb;A1 Movers;Time;
too;more than is good;adverb;Pre A1 Starters;;
again;to again;adverb;Pre A1 Starters;;
also;to also;adverb;A1 Movers;;
away;to away;adverb;A1 Movers;;
badly;to badly;adverb;A1 Movers;;
down;to down;adverb;A1 Movers;;
else;to else;adverb;A1 Movers;;
ever;to ever;adverb;A1 Movers;;
just;to just;adverb;A1 Movers;;
often;to often;adverb;A1 Movers;;
once;to once;adverb;A2 Flyers;;
only;to only;adverb;A1 Movers;;
quite;to quite;adverb;A2 Flyers;;
round;to round;adverb;A1 Movers;;
soon;to soon;adverb;A2 Flyers;;
still;to still;adverb;A2 Flyers;;
then;to then;adverb;A1 Movers;;
very;to very;adverb;Pre A1 Starters;;
when;to when;adverb;A1 Movers;;
yet;up to now;adverb;A2 Flyers;;
not;used to make a negative;adverb;Pre A1 Starters;;
always;;adverb;A1 Movers;Time;
before;;adverb;A1 Movers;Time;
oclock;;adverb;A1 Movers;Time;
inside;;adverb;A1 Movers;;
loudly;;adverb;A1 Movers;;
moment;;adverb;A2 Flyers;;
myself;;adverb;A2 Flyers;;
really;;adverb;Pre A1 Starters;;
slowly;;adverb;A1 Movers;;
already;;adverb;A1 Movers;;
instead;;adverb;A1 Movers;;
nowhere;;adverb;A2 Flyers;;
outside;;adverb;A1 Movers;;
perhaps;;adverb;A2 Flyers;;
quickly;;adverb;A1 Movers;;
quietly;;adverb;A1 Movers;;
usually;;adverb;A2 Flyers;;
actually;;adverb;A1 Movers;;
anywhere;;adverb;A1 Movers;;
suddenly;;adverb;A2 Flyers;;
together;;adverb;A2 Flyers;;
yourself;;adverb;A2 Flyers;;
sometimes;;adverb;A1 Movers;Time;
carefully;;adverb;A1 Movers;;
somewhere;;adverb;A2 Flyers;;
everywhere;;adverb;A1 Movers;;
have;to have;auxiliary verb & verb;B1 Preliminar;;
and;connecting word;conjunction;B1 Preliminar;;
unless;;conjunction;B1 Preliminar;;
because;;conjunction;B1 Preliminar;;
whether;;conjunction;B1 Preliminar;;
although;;conjunction;B1 Preliminar;;
whenever;;conjunction;B1 Preliminar;;
wherever;;conjunction;B1 Preliminar;;
that;connecting word;conjunction & determiner & pronoum;B1 Preliminar;;
order;a order;conjunction & noun & verb;B1 Preliminar;Shopping;
except;;conjunction & preposition;B1 Preliminar;;
plus;connecting word;conjunction & prepositon;B1 Preliminar;;
than;connecting word;conjunction & prepositon;B1 Preliminar;;
till;connecting word;conjunction & prepositon;B1 Preliminar;;
since;connecting word;conjunction & prepositon;B1 Preliminar;;
until;connecting word;conjunction & prepositon;B1 Preliminar;;
but;however, except;conjunction & prepositon;B1 Preliminar;;
while;a while;conjunction;A2 Flyers;;
than;connecting word;conjunction;A1 Movers;;
but;however, except;conjunction;Pre A1 Starters;;
because;;conjunction;A1 Movers;;
every;all of a group;determiner;B1 Preliminar;;
its;belonging to it;determiner;B1 Preliminar;;
our;belonging to us;determiner;B1 Preliminar;;
such;indicating which;determiner;B1 Preliminar;;
your;indicating which;determiner;B1 Preliminar;;
their;indicating which;determiner;B1 Preliminar;;
the;used to refer to specific things;determiner;B1 Preliminar;;
dozen;a dozen;determiner & noun;B1 Preliminar;;
her;belonging to a female;determiner & pronoum;B1 Preliminar;;
his;belonging to a male;determiner & pronoum;B1 Preliminar;;
both;indicating which;determiner & pronoum;B1 Preliminar;;
each;indicating which;determiner & pronoum;B1 Preliminar;;
many;indicating which;determiner & pronoum;B1 Preliminar;;
some;indicating which;determiner & pronoum;B1 Preliminar;;
this;indicating which;determiner & pronoum;B1 Preliminar;;
what;indicating which;determiner & pronoum;B1 Preliminar;;
these;indicating which;determiner & pronoum;B1 Preliminar;;
those;indicating which;determiner & pronoum;B1 Preliminar;;
which;indicating which;determiner & pronoum;B1 Preliminar;;
whose;indicating which;determiner & pronoum;B1 Preliminar;;
any;some, no matter which;determiner & pronoum;B1 Preliminar;;
one;the number 1;determiner & pronoum;B1 Preliminar;;
another;;determiner & pronoum;B1 Preliminar;;
several;;determiner & pronoum;B1 Preliminar;;
whatever;;determiner & pronoum;B1 Preliminar;;
every;all of a group;determiner;A1 Movers;Time;
that;connecting word;determiner;Pre A1 Starters;;
other;having the quality of being other;determiner;A1 Movers;;
lot;indicating which;determiner;Pre A1 Starters;;
both;indicating which;determiner;A1 Movers;;
each;indicating which;determiner;A1 Movers;;
lots;indicating which;determiner;Pre A1 Starters;;
many;indicating which;determiner;Pre A1 Starters;;
some;indicating which;determiner;Pre A1 Starters;;
such;indicating which;determiner;A1 Movers;;
this;indicating which;determiner;Pre A1 Starters;;
these;indicating which;determiner;Pre A1 Starters;;
those;indicating which;determiner;Pre A1 Starters;;
few;not many;determiner;A2 Flyers;;
any;some, no matter which;determiner;A1 Movers;;
one;the number 1;determiner;Pre A1 Starters;;
more;to more;determiner;A1 Movers;;
most;to most;determiner;A1 Movers;;
much;to much;determiner;A1 Movers;;
the;used to refer to specific things;determiner;Pre A1 Starters;Time;
another;;determiner;A1 Movers;;
may;expressing possibility;modal verb;B1 Preliminar;;
could;to could;modal verb;B1 Preliminar;;
might;to might;modal verb;B1 Preliminar;;
must;to must;modal verb;B1 Preliminar;;
ought;to ought;modal verb;B1 Preliminar;;
shall;to shall;modal verb;B1 Preliminar;;
will;to will;modal verb;B1 Preliminar;;
would;to would;modal verb;B1 Preliminar;;
should;;modal verb;B1 Preliminar;;
can;be able to;modal verb & noun;B1 Preliminar;;
may;expressing possibility;modal verb;A1 Movers;;
could;to could;modal verb;A1 Movers;;
might;to might;modal verb;A1 Movers;;
shall;to shall;modal verb;A1 Movers;;
will;to will;modal verb;A1 Movers;;
would;to would;modal verb;A1 Movers;;
ability;;modal verb;A1 Movers;;
access;a access;noun;B1 Preliminar;Communications and Technology;
ache;a ache;noun;B1 Preliminar;Health;
advert;a advert;noun;B1 Preliminar;Entertainment and Media;
alarm;a alarm;noun;B1 Preliminar;House and Home;
album;a album;noun;B1 Preliminar;;
ankle;a ankle;noun;B1 Preliminar;Health;
pie;a baked dish with pastry and a filling;noun;B1 Preliminar;Food & drink;
baker;a baker;noun;B1 Preliminar;;
ballet;a ballet;noun;B1 Preliminar;Entertainment and Media;
gate;a barrier in a fence or wall;noun;B1 Preliminar;House and Home;
door;a barrier that opens and closes an entrance;noun;B1 Preliminar;House and Home;
basin;a basin;noun;B1 Preliminar;House and Home;
beard;a beard;noun;B1 Preliminar;;
beef;a beef;noun;B1 Preliminar;;
bike;a bicycle;noun;B1 Preliminar;Hobbies and Leisure;
birth;a birth;noun;B1 Preliminar;;
block;a block;noun;B1 Preliminar;House and Home;
blood;a blood;noun;B1 Preliminar;;
blouse;a blouse;noun;B1 Preliminar;Clothes;
chess;a board game;noun;B1 Preliminar;Entertainment and Media;
body;a body;noun;B1 Preliminar;Health;
lake;a body of water;noun;B1 Preliminar;Places;
bone;a bone;noun;B1 Preliminar;Health;
boot;a boot;noun;B1 Preliminar;Clothes;
brain;a brain;noun;B1 Preliminar;Health;
breath;a breath;noun;B1 Preliminar;Health;
bride;a bride;noun;B1 Preliminar;;
bridge;a bridge;noun;B1 Preliminar;Places;
bucket;a bucket;noun;B1 Preliminar;House and Home;
hotel;a building providing accommodation;noun;B1 Preliminar;Places;
bull;a bull;noun;B1 Preliminar;;
bunch;a bunch;noun;B1 Preliminar;;
button;a button;noun;B1 Preliminar;Clothes;
buyer;a buyer;noun;B1 Preliminar;;
cabin;a cabin;noun;B1 Preliminar;Transport;
cable;a cable;noun;B1 Preliminar;;
calf;a calf;noun;B1 Preliminar;;
camel;a camel;noun;B1 Preliminar;;
camera;a camera;noun;B1 Preliminar;Entertainment and Media;
canal;a canal;noun;B1 Preliminar;Places;
candle;a candle;noun;B1 Preliminar;House and Home;
taxi;a car for hire;noun;B1 Preliminar;Transport;
carpet;a carpet;noun;B1 Preliminar;House and Home;
castle;a castle;noun;B1 Preliminar;Places;
centre;a centre;noun;B1 Preliminar;Places;
chain;a chain;noun;B1 Preliminar;Clothes;
chair;a chair;noun;B1 Preliminar;House and Home;
cheek;a cheek;noun;B1 Preliminar;;
chef;a chef;noun;B1 Preliminar;Food & drink;
child;a child;noun;B1 Preliminar;;
kid;a child or young person;noun;B1 Preliminar;;
chilli;a chilli;noun;B1 Preliminar;Food & drink;
chin;a chin;noun;B1 Preliminar;Health;
chip;a chip;noun;B1 Preliminar;;
cinema;a cinema;noun;B1 Preliminar;Entertainment and Media;
circle;a circle;noun;B1 Preliminar;;
wheel;a circular object that rotates;noun;B1 Preliminar;Transport;
circus;a circus;noun;B1 Preliminar;Entertainment and Media;
cliff;a cliff;noun;B1 Preliminar;Places;
clinic;a clinic;noun;B1 Preliminar;Places;
coach;a coach;noun;B1 Preliminar;Education;
coin;a coin;noun;B1 Preliminar;;
penny;a coin of small value;noun;B1 Preliminar;Shopping;
cent;a coin worth one hundredth of a dollar;noun;B1 Preliminar;Shopping;
cola;a cola;noun;B1 Preliminar;Food & drink;
collar;a collar;noun;B1 Preliminar;Clothes;
file;a collection of information stored under a name;noun;B1 Preliminar;Communications and Technology;
comedy;a comedy;noun;B1 Preliminar;Entertainment and Media;
comma;a comma;noun;B1 Preliminar;;
app;a computer program designed for a particular purpose on a mobile device;noun;B1 Preliminar;Communications and Technology;
jar;a container;noun;B1 Preliminar;;
case;a container;noun;B1 Preliminar;Transport;
vase;a container for flowers;noun;B1 Preliminar;House and Home;
bottle;a container for liquids;noun;B1 Preliminar;Food & drink;
jug;a container for liquids with a handle and spout;noun;B1 Preliminar;Food & drink;
bin;a container for waste;noun;B1 Preliminar;House and Home;
bag;a container made of flexible material with an opening at the top;noun;B1 Preliminar;Clothes;
box;a container with a flat base and sides;noun;B1 Preliminar;Food & drink;
cooker;a cooker;noun;B1 Preliminar;Food & drink;
corn;a corn;noun;B1 Preliminar;Food & drink;
corner;a corner;noun;B1 Preliminar;Places;
hall;a corridor or large room;noun;B1 Preliminar;House and Home;
cotton;a cotton;noun;B1 Preliminar;Clothes;
bar;a counter or a rigid piece;noun;B1 Preliminar;;
course;a course;noun;B1 Preliminar;Education;
court;a court;noun;B1 Preliminar;Sports & leisure;
van;a covered vehicle;noun;B1 Preliminar;;
shoe;a covering for the foot;noun;B1 Preliminar;Clothes;
glove;a covering for the hand with separate fingers;noun;B1 Preliminar;Clothes;
hat;a covering for the head worn for warmth or fashion;noun;B1 Preliminar;Clothes;
crime;a crime;noun;B1 Preliminar;;
crop;a crop;noun;B1 Preliminar;;
crowd;a crowd;noun;B1 Preliminar;;
cruise;a cruise;noun;B1 Preliminar;Hobbies and Leisure;
curry;a curry;noun;B1 Preliminar;Food & drink;
diary;a daily record book;noun;B1 Preliminar;Time;
dancer;a dancer;noun;B1 Preliminar;Entertainment and Media;
danger;a danger;noun;B1 Preliminar;Health;
death;a death;noun;B1 Preliminar;;
pot;a deep container;noun;B1 Preliminar;;
degree;a degree;noun;B1 Preliminar;Education;
depth;a depth;noun;B1 Preliminar;;
desert;a desert;noun;B1 Preliminar;Places;
radio;a device for receiving broadcasts;noun;B1 Preliminar;House and Home;
clock;a device showing time;noun;B1 Preliminar;House and Home;
tap;a device that controls the flow of water;noun;B1 Preliminar;House and Home;
fan;a device that creates air flow for cooling, or an enthusiast;noun;B1 Preliminar;Hobbies and Leisure;
lamp;a device that produces light;noun;B1 Preliminar;House and Home;
diet;a diet;noun;B1 Preliminar;Food & drink;
dirt;a dirt;noun;B1 Preliminar;;
dish;a dish;noun;B1 Preliminar;Food & drink;
disk;a disk;noun;B1 Preliminar;;
diver;a diver;noun;B1 Preliminar;Work;
donkey;a donkey;noun;B1 Preliminar;The Natural World;
drama;a drama;noun;B1 Preliminar;Education;
drawer;a drawer;noun;B1 Preliminar;House and Home;
map;a drawing showing the features of an area;noun;B1 Preliminar;Transport;
dust;a dust;noun;B1 Preliminar;;
duty;a duty;noun;B1 Preliminar;;
duvet;a duvet;noun;B1 Preliminar;House and Home;
DVD;a DVD;noun;B1 Preliminar;;
earth;a earth;noun;B1 Preliminar;Places;
edge;a edge;noun;B1 Preliminar;;
elbow;a elbow;noun;B1 Preliminar;;
enemy;a enemy;noun;B1 Preliminar;;
entry;a entry;noun;B1 Preliminar;;
essay;a essay;noun;B1 Preliminar;Education;
event;a event;noun;B1 Preliminar;;
fact;a fact;noun;B1 Preliminar;;
star;a famous person or celestial body;noun;B1 Preliminar;Entertainment and Media;
pig;a farm animal;noun;B1 Preliminar;;
goat;a farm animal with horns and a beard;noun;B1 Preliminar;;
jet;a fast aircraft;noun;B1 Preliminar;Transport;
fault;a fault;noun;B1 Preliminar;;
fear;a fear;noun;B1 Preliminar;;
fee;a fee;noun;B1 Preliminar;;
girl;a female child;noun;B1 Preliminar;;
mother;a female parent;noun;B1 Preliminar;;
queen;a female ruler;noun;B1 Preliminar;Work;
sister;a female sibling;noun;B1 Preliminar;;
ferry;a ferry;noun;B1 Preliminar;Transport;
fever;a fever;noun;B1 Preliminar;Health;
movie;a film;noun;B1 Preliminar;;
bank;a financial institution or the side of a river;noun;B1 Preliminar;Places;
firm;a firm;noun;B1 Preliminar;;
shelf;a flat board for storing things;noun;B1 Preliminar;House and Home;
plate;a flat dish for serving food;noun;B1 Preliminar;Food & drink;
leaf;a flat green part of a plant;noun;B1 Preliminar;The Natural World;
step;a flat surface for placing the foot when going up or down;noun;B1 Preliminar;House and Home;
rug;a floor covering;noun;B1 Preliminar;;
flute;a flute;noun;B1 Preliminar;;
fool;a fool;noun;B1 Preliminar;;
forest;a forest;noun;B1 Preliminar;Places;
frame;a frame;noun;B1 Preliminar;;
fridge;a fridge;noun;B1 Preliminar;Food & drink;
garage;a garage;noun;B1 Preliminar;House and Home;
garden;a garden;noun;B1 Preliminar;House and Home;
garlic;a garlic;noun;B1 Preliminar;Food & drink;
skirt;a garment for the lower body worn by women;noun;B1 Preliminar;Clothes;
shirt;a garment for the upper body with a collar;noun;B1 Preliminar;Clothes;
gift;a gift;noun;B1 Preliminar;;
bulb;a glass light source;noun;B1 Preliminar;House and Home;
grade;a grade;noun;B1 Preliminar;;
grant;a grant;noun;B1 Preliminar;;
groom;a groom;noun;B1 Preliminar;;
band;a group of musicians;noun;B1 Preliminar;Entertainment and Media;
family;a group of related people;noun;B1 Preliminar;;
class;a group of students taught together;noun;B1 Preliminar;Education;
club;a group with shared interests;noun;B1 Preliminar;Hobbies and Leisure;
team;a group working together;noun;B1 Preliminar;Sports & leisure;
crew;a group working together;noun;B1 Preliminar;Work;
guard;a guard;noun;B1 Preliminar;Work;
guest;a guest;noun;B1 Preliminar;Transport;
guitar;a guitar;noun;B1 Preliminar;Entertainment and Media;
habit;a habit;noun;B1 Preliminar;;
port;a harbor town;noun;B1 Preliminar;Places;
health;a health;noun;B1 Preliminar;Health;
heart;a heart;noun;B1 Preliminar;;
heater;a heater;noun;B1 Preliminar;House and Home;
heel;a heel;noun;B1 Preliminar;Health;
helmet;a helmet;noun;B1 Preliminar;Sports & leisure;
herb;a herb;noun;B1 Preliminar;;
hole;a hole;noun;B1 Preliminar;;
bell;a hollow metal object that rings when struck;noun;B1 Preliminar;Education;
hoodie;a hoodie;noun;B1 Preliminar;Clothes;
coffee;a hot brown drink;noun;B1 Preliminar;Food & drink;
tea;a hot drink made by pouring water over dried leaves;noun;B1 Preliminar;Food & drink;
house;a house;noun;B1 Preliminar;House and Home;
idea;a idea;noun;B1 Preliminar;;
inch;a inch;noun;B1 Preliminar;;
insect;a insect;noun;B1 Preliminar;;
island;a island;noun;B1 Preliminar;Places;
issue;a issue;noun;B1 Preliminar;;
item;a item;noun;B1 Preliminar;;
jail;a jail;noun;B1 Preliminar;;
jazz;a jazz;noun;B1 Preliminar;;
trip;a journey;noun;B1 Preliminar;Transport;
jumper;a jumper;noun;B1 Preliminar;Clothes;
kettle;a kettle;noun;B1 Preliminar;House and Home;
kitten;a kitten;noun;B1 Preliminar;;
label;a label;noun;B1 Preliminar;Clothes;
lack;a lack;noun;B1 Preliminar;;
ladder;a ladder;noun;B1 Preliminar;House and Home;
lady;a lady;noun;B1 Preliminar;;
lamb;a lamb;noun;B1 Preliminar;Food & drink;
sea;a large area of salt water;noun;B1 Preliminar;Places;
ship;a large boat;noun;B1 Preliminar;Transport;
mug;a large cup with straight sides;noun;B1 Preliminar;House and Home;
cow;a large farm animal kept for its milk and meat;noun;B1 Preliminar;;
horse;a large four-legged animal used for riding;noun;B1 Preliminar;;
bear;a large furry animal;noun;B1 Preliminar;;
poster;a large printed picture;noun;B1 Preliminar;;
mall;a large shopping center;noun;B1 Preliminar;Shopping;
river;a large stream of water;noun;B1 Preliminar;Places;
city;a large town;noun;B1 Preliminar;;
lorry;a large truck;noun;B1 Preliminar;Transport;
bus;a large vehicle for carrying passengers;noun;B1 Preliminar;Transport;
lion;a large wild cat with a mane;noun;B1 Preliminar;The Natural World;
tiger;a large wild cat with orange and black stripes;noun;B1 Preliminar;The Natural World;
level;a level;noun;B1 Preliminar;Education;
life;a life;noun;B1 Preliminar;;
row;a line of people or things arranged next to each other;noun;B1 Preliminar;Entertainment and Media;
link;a link;noun;B1 Preliminar;;
soup;a liquid food made by cooking vegetables or meat in water;noun;B1 Preliminar;Food & drink;
list;a list;noun;B1 Preliminar;;
litre;a litre;noun;B1 Preliminar;;
litter;a litter;noun;B1 Preliminar;Environment;
animal;a living creature that can move and eat;noun;B1 Preliminar;The Natural World;
load;a load;noun;B1 Preliminar;;
loan;a loan;noun;B1 Preliminar;;
line;a long narrow mark;noun;B1 Preliminar;House and Home;
snake;a long reptile with no legs;noun;B1 Preliminar;;
sofa;a long soft seat for several people;noun;B1 Preliminar;House and Home;
banana;a long yellow fruit;noun;B1 Preliminar;Food & drink;
Madam;a Madam;noun;B1 Preliminar;;
son;a male child in relation to his parents;noun;B1 Preliminar;;
boy;a male child or young man;noun;B1 Preliminar;;
father;a male parent;noun;B1 Preliminar;;
king;a male ruler;noun;B1 Preliminar;Work;
guy;a man;noun;B1 Preliminar;;
market;a market;noun;B1 Preliminar;Places;
wife;a married woman;noun;B1 Preliminar;;
mate;a mate;noun;B1 Preliminar;;
net;a material made of string or rope knotted together with spaces between;noun;B1 Preliminar;Communications and Technology;
number;a mathematical value;noun;B1 Preliminar;;
lunch;a meal eaten in the middle of the day;noun;B1 Preliminar;Food & drink;
picnic;a meal eaten outdoors;noun;B1 Preliminar;Food & drink;
robot;a mechanical person;noun;B1 Preliminar;Communications and Technology;
melon;a melon;noun;B1 Preliminar;Food & drink;
menu;a menu;noun;B1 Preliminar;Food & drink;
mess;a mess;noun;B1 Preliminar;;
metal;a metal;noun;B1 Preliminar;;
tin;a metal container;noun;B1 Preliminar;;
pan;a metal container used for cooking food;noun;B1 Preliminar;Food & drink;
key;a metal instrument for opening locks;noun;B1 Preliminar;House and Home;
way;a method, route, or path;noun;B1 Preliminar;Transport;
metre;a metre;noun;B1 Preliminar;;
mile;a mile;noun;B1 Preliminar;;
mirror;a mirror;noun;B1 Preliminar;House and Home;
Miss;a Miss;noun;B1 Preliminar;Transport;
mood;a mood;noun;B1 Preliminar;;
parent;a mother or father;noun;B1 Preliminar;;
car;a motor vehicle with four wheels;noun;B1 Preliminar;Transport;
Mrs;a Mrs;noun;B1 Preliminar;;
museum;a museum;noun;B1 Preliminar;Entertainment and Media;
drum;a musical instrument that you hit;noun;B1 Preliminar;;
piano;a musical instrument with keys;noun;B1 Preliminar;;
story;a narrative account;noun;B1 Preliminar;;
cave;a natural hollow in rock;noun;B1 Preliminar;The Natural World;
nest;a nest;noun;B1 Preliminar;;
niece;a niece;noun;B1 Preliminar;;
noise;a noise;noun;B1 Preliminar;;
novel;a novel;noun;B1 Preliminar;;
group;a number of people or things together;noun;B1 Preliminar;Entertainment and Media;
office;a office;noun;B1 Preliminar;Places;
olive;a olive;noun;B1 Preliminar;;
opera;a opera;noun;B1 Preliminar;Entertainment and Media;
owner;a owner;noun;B1 Preliminar;Work;
pain;a pain;noun;B1 Preliminar;Health;
palace;a palace;noun;B1 Preliminar;Places;
pants;a pants;noun;B1 Preliminar;Clothes;
parcel;a parcel;noun;B1 Preliminar;Communications and Technology;
parrot;a parrot;noun;B1 Preliminar;The Natural World;
room;a part of a building enclosed by walls;noun;B1 Preliminar;House and Home;
bay;a part of the coast where the land curves inward;noun;B1 Preliminar;Places;
place;a particular position or location;noun;B1 Preliminar;;
peace;a peace;noun;B1 Preliminar;;
peach;a peach;noun;B1 Preliminar;Food & drink;
peak;a peak;noun;B1 Preliminar;;
peanut;a peanut;noun;B1 Preliminar;Food & drink;
day;a period of 24 hours;noun;B1 Preliminar;Time;
year;a period of 365 days;noun;B1 Preliminar;Time;
hour;a period of 60 minutes;noun;B1 Preliminar;Time;
week;a period of seven days;noun;B1 Preliminar;Time;
lesson;a period of teaching;noun;B1 Preliminar;Education;
term;a period of time in a school year;noun;B1 Preliminar;Education;
hero;a person admired for brave deeds;noun;B1 Preliminar;Entertainment and Media;
boss;a person in charge;noun;B1 Preliminar;Work;
nurse;a person who cares for the sick;noun;B1 Preliminar;Health;
pilot;a person who flies aircraft;noun;B1 Preliminar;Transport;
actor;a person who performs in plays or films;noun;B1 Preliminar;Entertainment and Media;
friend;a person you like and know well;noun;B1 Preliminar;;
photo;a picture taken with a camera;noun;B1 Preliminar;;
piece;a piece;noun;B1 Preliminar;;
flag;a piece of cloth with a special design;noun;B1 Preliminar;;
scarf;a piece of cloth worn around the neck;noun;B1 Preliminar;Clothes;
bed;a piece of furniture for sleeping on;noun;B1 Preliminar;House and Home;
table;a piece of furniture with a flat top;noun;B1 Preliminar;House and Home;
card;a piece of stiff paper for games or messages;noun;B1 Preliminar;Entertainment and Media;
poem;a piece of writing in verse;noun;B1 Preliminar;Entertainment and Media;
pile;a pile;noun;B1 Preliminar;;
pill;a pill;noun;B1 Preliminar;Hobbies and Leisure;
pillow;a pillow;noun;B1 Preliminar;House and Home;
pitch;a pitch;noun;B1 Preliminar;;
pity;a pity;noun;B1 Preliminar;;
school;a place for education;noun;B1 Preliminar;Education;
gym;a place for physical exercise;noun;B1 Preliminar;Health;
pool;a place for swimming;noun;B1 Preliminar;;
town;a place with many buildings larger than a village;noun;B1 Preliminar;Places;
stage;a platform for performances;noun;B1 Preliminar;Entertainment and Media;
pocket;a pocket;noun;B1 Preliminar;Clothes;
pop;a pop;noun;B1 Preliminar;;
torch;a portable light;noun;B1 Preliminar;Hobbies and Leisure;
tent;a portable shelter;noun;B1 Preliminar;Hobbies and Leisure;
part;a portion of something;noun;B1 Preliminar;;
power;a power;noun;B1 Preliminar;;
monkey;a primate that lives in trees and has a long tail;noun;B1 Preliminar;The Natural World;
prison;a prison;noun;B1 Preliminar;Places;
tram;a public transport vehicle on rails;noun;B1 Preliminar;Transport;
pump;a pump;noun;B1 Preliminar;;
pupil;a pupil;noun;B1 Preliminar;Education;
puppy;a puppy;noun;B1 Preliminar;;
purse;a purse;noun;B1 Preliminar;Clothes;
queue;a queue;noun;B1 Preliminar;;
rabbit;a rabbit;noun;B1 Preliminar;The Natural World;
rail;a rail;noun;B1 Preliminar;;
hill;a raised area of land;noun;B1 Preliminar;Places;
range;a range;noun;B1 Preliminar;The Natural World;
recipe;a recipe;noun;B1 Preliminar;Food & drink;
tomato;a red fruit used as a vegetable;noun;B1 Preliminar;Food & drink;
region;a region;noun;B1 Preliminar;Places;
area;a region or space;noun;B1 Preliminar;Places;
review;a review;noun;B1 Preliminar;Entertainment and Media;
rider;a rider;noun;B1 Preliminar;Sports & leisure;
role;a role;noun;B1 Preliminar;;
roll;a roll;noun;B1 Preliminar;Food & drink;
rope;a rope;noun;B1 Preliminar;Hobbies and Leisure;
rose;a rose;noun;B1 Preliminar;;
bowl;a round deep dish;noun;B1 Preliminar;Food & drink;
apple;a round fruit with red or green skin;noun;B1 Preliminar;Food & drink;
ball;a round object for games;noun;B1 Preliminar;Sports & leisure;
potato;a round vegetable that grows underground;noun;B1 Preliminar;Food & drink;
onion;a round vegetable with layers;noun;B1 Preliminar;Food & drink;
route;a route;noun;B1 Preliminar;Places;
rugby;a rugby;noun;B1 Preliminar;Sports & leisure;
ruin;a ruin;noun;B1 Preliminar;Places;
law;a rule made by government;noun;B1 Preliminar;;
sale;a sale;noun;B1 Preliminar;;
salmon;a salmon;noun;B1 Preliminar;Food & drink;
sandal;a sandal;noun;B1 Preliminar;Clothes;
burger;a sandwich with meat in a bun;noun;B1 Preliminar;Food & drink;
saucer;a saucer;noun;B1 Preliminar;Food & drink;
scene;a scene;noun;B1 Preliminar;Entertainment and Media;
screen;a screen;noun;B1 Preliminar;Education;
spy;a secret agent;noun;B1 Preliminar;;
selfie;a selfie;noun;B1 Preliminar;Entertainment and Media;
sense;a sense;noun;B1 Preliminar;;
series;a series;noun;B1 Preliminar;Entertainment and Media;
server;a server;noun;B1 Preliminar;Education;
kit;a set of equipment or clothing for a specific purpose;noun;B1 Preliminar;Clothes;
shade;a shade;noun;B1 Preliminar;;
shame;a shame;noun;B1 Preliminar;;
shape;a shape;noun;B1 Preliminar;;
shark;a shark;noun;B1 Preliminar;The Natural World;
sheep;a sheep;noun;B1 Preliminar;;
sheet;a sheet;noun;B1 Preliminar;House and Home;
shock;a shock;noun;B1 Preliminar;;
store;a shop;noun;B1 Preliminar;Places;
shore;a shore;noun;B1 Preliminar;;
